current_train_id,train_file_address,train_service_code,revised_train_id,train_id,event_timestamp
,5TS,59120043,74459P2Y09,74689G2Y09,1523296909000
,5LT,56120623,66482P1809,66605G1809,1523302416000
,5W7,53790121,88797Z2Z09,88624H2Z09,1523305676000
,5W1,51425330,76063QC709,76620HC709,1523307068000
,5XA,59120020,82697HC010,82792ZC010,1523307420000
,5ZN,51426930,24071Q1709,24665H1709,1523309640000
,64S,54606070,86630IC909,86406QC909,1523311821000
,63K,56609010,74080QC909,74499PC909,1523312385000
,662,54761000,560E16C310,566E16C310,1523313064000
65027QCY09,5TU,52495100,65692GCY09,65692GCY09,1523313248000
,,56121720,52705AC410,52670IC410,1523333700000
,6AN,51610410,89016RCC10,89431QCC10,1523320296000
,65Q,52160347,74437QC310,74636IC310,1523321109000
,6BU,52495100,82020RCB10,82613JCB10,1523321817000
,6CL,56230736,56628JC210,56442QC210,1523322907000
,6D5,55121420,35447QC210,35636JC210,1523324087000
,5W4,57622770,39025RCZ09,39622HCZ09,1523324760000
,66F,95998090,42027RC310,42642IC310,1523325300000
,6FU,52495100,88681JC410,88715AC410,1523328816000
,6BJ,59430444,76037RC210,76610JC210,1523329404000
,5ZD,51426930,76048RC909,76663HC909,1523334574000
,6IF,55122820,73723A1510,73615K1510,1523336962000
,6S5,95998090,42081RCK10,42609LCK10,1523344680000
,6Q2,53790121,22096RCD10,22683KCD10,1523347369000
,6X7,53790120,86666LCP10,86742ACP10,1523350492000
,6N7,59120036,47681LCF10,47727ACF10,1523352819000
,6UG,59120028,73744A1I10,73635L1I10,1523354207000
,6SJ,59120020,82601MCE10,82730ACE10,1523354722000
,6ZV,59430641,79044SCJ10,79694LCJ10,1523358034000
,6ZV,59430641,79044SCJ10,79694LCJ10,1523358034000
82020RCB10,6BU,52495100,82613JCB10,82613JCB10,1523358568000
,,12224820,31589FMK10,31588FMK10,1523362920000
79044SCJ10,6ZV,59430641,79694LCJ10,79694LCJ10,1523365878000
,73G,54606570,86073SCN10,86638MCN10,1523366786000
,769,59120020,73608NCP10,73754ACP10,1523370066000
,78G,59120020,74654N1R10,74756A1R10,1523373342000
,7CC,56120624,49427SCO10,49630NCO10,1523377669000
,7EK,51426930,25022T2V10,25660N2V10,1523378334000
,7HD,52495100,65038TCY10,65690NCY10,1523383676000
,7K8,57120821,88632OCZ10,88771ACZ10,1523383852000
,7LS,52495100,86655OCY10,86772ACY10,1523386198000
25022T2V10,7EK,51426930,25660N2V10,25660N2V10,1523387460000
,7AK,54606070,49057TC710,49496RC710,1523389710000
,,52160347,72473SC710,72689OC710,1523395140000
,7Q8,51426930,24059T1710,24690O1710,1523390595000
,7N4,53790120,86069TC710,86663OC710,1523393140000
,7S7,59120020,82696PC011,82779AC011,1523399319000
,7U3,56609010,74091TC910,74486SC910,1523399991000
65038TCY10,7HD,52495100,65690NCY10,65690NCY10,1523400832000
,,24788005,87533GM910,87532GM910,1523404080000
,7S2,59120003,73789AC311,73611PC311,1523405735000
,7XG,59120042,82689QC111,82781AC111,1523410834000
,84D,52495100,88690QC411,88791AC411,1523411045000
,83W,56661501,57546G1311,57539G1311,1523416800000
,896,52495100,82048UCB11,82661RCB11,1523417732000
,8AP,53790121,56690RC611,56679RC611,1523421642000
,89A,53790120,82068UCG11,82662RCG11,1523424284000
,8AY,56609010,35071UC611,35680RC611,1523424673000
,,59120003,88704BCK11,88616SCK11,1523445300000
,7JN,51425230,79085UCZ10,79621OCZ10,1523429649000
,8J7,95998090,42093UCK11,42689SCK11,1523431560000
,8DA,56120620,62433UCD11,62606SCD11,1523433329000
,8IA,59120042,74615TCD11,74713BCD11,1523433701000
,8Q8,53790120,82048VCG11,82661TCG11,1523439637000
,8ME,57622770,79052VCG11,79624TCG11,1523442480000
82048UCB11,896,52495100,82661RCB11,82661RCB11,1523442697000
,8UN,56609010,74070VCP11,74469UCP11,1523457720000
,8VV,53790120,86629UCP11,86726BCP11,1523448623000
,8VG,50520220,35085VCB11,35622UCB11,1523449869000
,8E9,56120622,47476UCL11,47624SCL11,1523449980000
,8EA,57121020,62086VCK11,62625SCK11,1523450027000
79052VCG11,8ME,57622770,79624TCG11,79624TCG11,1523450400000
,8UM,50520620,62478U1N11,62611U1N11,1523450982000
,8QA,52160347,48486UCK11,48662TCK11,1523452290000
,8UA,54606570,86002WCN11,86606UCN11,1523452777000
,8GZ,50520620,73499UCM11,73657SCM11,1523454649000
,908,59120020,73729B1O11,73675U1O11,1523454657000
,90K,52160347,48400VCS11,48681UCS11,1523454971000
,8H5,59120020,73698UCP11,73712BCP11,1523457018000
,8Z3,59430444,76030WCQ11,76666UCQ11,1523461038000
,95L,56121720,73742BC811,73644VC811,1523461853000
,95I,56120720,73429VCX11,73643VCX11,1523463019000
,981,52495100,82048WCV11,82671VCV11,1523464967000
,98H,59430443,79056WCX11,79678VCX11,1523466719000
,9FW,52495100,86088WCY11,86748BCY11,1523475769000
,9GM,51426930,24012X1711,24670W1711,1523482620000
,9KW,56609010,74025XC911,74483VC911,1523484647000
,,56121720,52754BC412,52676XC412,1523506500000
,9QF,59120020,82038XC012,82757BC012,1523487120000
,9A2,52495100,65054XCY11,65698VCY11,1523490397000
,,21788001,54532H2112,54531H2112,1523495160000
,98J,57622770,39070XCZ11,39679VCZ11,1523497746000
,9TH,53790121,56071XC612,56640YC612,1523497958000
,9QA,59430444,76074XC212,76693XC212,1523498893000
,9H5,55121420,35453WC212,35674WC212,1523499242000
,A0S,52495100,88632ZC412,88775BC412,1523502910000
,9IR,52495100,03479W1412,03696W1412,1523505120000
,9TA,55463681,700M292412,706M292412,1523513700000
,,53790120,82015YCG12,82611ACG12,1523528040000
,9VR,56120620,62426XCD12,62661YCD12,1523517759000
,9Y5,56609010,65069Y1F12,65686Y1F12,1523526009000
,AHP,54606570,74072YCG12,74614BCG12,1523527080000
,AJG,54606070,32645BCK12,32458XCK12,1523531075000
,AJT,53790121,65091YCI12,65637BCI12,1523531641000
,AJ4,52160340,72465XCH12,72628BCH12,1523533262000
,AM6,52406842,35007ZCN12,35672BCN12,1523535749000
,AAZ,51120920,51475XCO12,51647ACO12,1523536380000
,9Y9,59430641,65008ZCE12,65689YCE12,1523536818000
,,52160346,16490XCZ12,16602CCZ12,1523563860000
,AGJ,59120020,73705C1Q12,73602B1Q12,1523538286000
,AQH,56609010,74014ZCP12,74493XCP12,1523544120000
,A78,50520620,62495X1N12,62608A1N12,1523538701000
,ARY,95998090,42025ZCY12,42622CCY12,1523540160000
,AFR,59120020,73632CCP12,73798BCP12,1523541793000
,AWM,56121720,73717CC812,73669CC812,1523547159000
35007ZCN12,AM6,52406842,35672BCN12,35672BCN12,1523547202000
